"","name","VIP","t_test_table$adj.P.Val","FC_table$logFC"
"pX355.12239074707...954.400024414062","pX355.12239074707...954.400024414062",1.66277482196961,4.95413810003981e-12,-2.0628891661206
"pX355.15843963623...954.400012207031","pX355.15843963623...954.400012207031",1.66221843418393,4.83693167028136e-12,-1.53929908288502
"pX363.207489013672...1043.19995117188","pX363.207489013672...1043.19995117188",1.66043728893461,3.68801367991749e-11,-2.72337898217894
"pX355.500183105469...655.200012207031","pX355.500183105469...655.200012207031",1.6587118155871,8.12774171865755e-12,-3.36878577726613
"pX363.225631713867...1043.19995117188","pX363.225631713867...1043.19995117188",1.65808867330356,3.98338719287597e-11,-2.41594553578897
"pX379.204483032227...1268.80004882812","pX379.204483032227...1268.80004882812",1.65755089576248,1.86887213478724e-10,-2.19703297279026
"pX239.088500976562...1042.40002441406","pX239.088500976562...1042.40002441406",1.65637853078973,2.54588386132092e-11,-2.70555786420158
"nX693.337677001953...1895.20007324219","nX693.337677001953...1895.20007324219",1.65623642888554,1.04132849938887e-11,-2.2996249185783
"pX363.243789672852...1043.19995117188","pX363.243789672852...1043.19995117188",1.65483157272427,9.43575303955609e-11,-1.99235614024191
"nX353.154693603516...653.483581542969","nX353.154693603516...653.483581542969",1.6537035609687,2.26633934310815e-11,-2.17182635078327
"pX356.202392578125...655.200012207031","pX356.202392578125...655.200012207031",1.65258945357474,8.08504236213101e-12,-5.23362625819284
"pX356.490692138672...954.399963378906","pX356.490692138672...954.399963378906",1.65094059804341,8.8608342104728e-12,-1.84375764818523
"pX462.366546630859...1043.19995117188","pX462.366546630859...1043.19995117188",1.64764232859194,7.83067959401484e-11,-1.48139481987325
"pX257.079681396484...954.400024414062","pX257.079681396484...954.400024414062",1.64721330679184,1.46237219967926e-11,-2.16445742770199
"pX353.128845214844...953.600036621094","pX353.128845214844...953.600036621094",1.64664053073583,9.24108935497333e-12,-4.60073425529457
"pX397.294189453125...1324.00012207031","pX397.294189453125...1324.00012207031",1.64621402633972,1.12712896591974e-08,-3.16149167294968
