"","name","VIP","t_test_table$adj.P.Val","FC_table$logFC"
"nX607.195434570312...1485.03601074219","nX607.195434570312...1485.03601074219",1.61219495017805,2.86408317480106e-11,-6.41412251592579
"pX223.144790649414...1294.39990234375","pX223.144790649414...1294.39990234375",1.55839635863912,2.12066810703892e-10,-3.01825731122433
"nX235.038101196289...1186.40002441406","nX235.038101196289...1186.40002441406",1.59271187333169,4.3916150967909e-10,-2.42172066083459
"pX167.034896850586...1187.19995117188","pX167.034896850586...1187.19995117188",1.59426481096427,2.9971322057964e-10,-1.69211292715975
"pX223.2294921875...1187.19995117188","pX223.2294921875...1187.19995117188",1.59528416254102,1.5928249264783e-10,-2.89633606884008
"nX278.004089355469...1186.40307617188","nX278.004089355469...1186.40307617188",1.58129805426494,4.20090194390976e-10,-2.54671502431331
"nX346.495788574219...1327.91333007812","nX346.495788574219...1327.91333007812",1.57015278193107,1.73948504721749e-10,1.88802753723408
"pX167.04719543457...1187.19995117188","pX167.04719543457...1187.19995117188",1.59564882973599,4.30151051781573e-10,-2.48337966081555
"nX361.199981689453...1888.3369140625","nX361.199981689453...1888.3369140625",1.54112647488199,2.9036303394731e-10,-2.62082279774546
"nX278.099090576172...1186.40002441406","nX278.099090576172...1186.40002441406",1.59050042785608,3.49892049711513e-10,-3.39677210408839
"nX278.290100097656...1186.40002441406","nX278.290100097656...1186.40002441406",1.58918215388512,2.28825041859852e-10,-8.6788087181571
"nX235.111297607422...1415.20007324219","nX235.111297607422...1415.20007324219",1.59468554715905,9.27575159187339e-11,-4.94799556457327
"nX278.25830078125...1186.40002441406","nX278.25830078125...1186.40002441406",1.58790266997175,5.15963051912019e-10,-3.46090120589137
"pX356.454681396484...953.600036621094","pX356.454681396484...953.600036621094",1.55994021287288,1.8989578564395e-10,-2.2333580565876
"nX278.130889892578...1186.40002441406","nX278.130889892578...1186.40002441406",1.587224822375,4.92706665473232e-10,-3.49537003968169
"nX484.326385498047...2025.974609375","nX484.326385498047...2025.974609375",1.58488901352769,8.993319262041e-11,-3.30491907658841
"nX333.734191894531...1072.80004882812","nX333.734191894531...1072.80004882812",1.60640233620543,8.57685408567525e-11,-2.08665399769871
"pX223.101989746094...1186.40002441406","pX223.101989746094...1186.40002441406",1.59367372481561,2.41781772063298e-10,-1.28151111215554
"pX267.091583251953...1072.80004882812","pX267.091583251953...1072.80004882812",1.58403736876082,1.12540918689176e-10,-2.39559648285025
"pX335.229293823242...1072.80004882812","pX335.229293823242...1072.80004882812",1.57283598857641,2.90150007539881e-10,-1.98122930119642
"pX279.093505859375...1073.59997558594","pX279.093505859375...1073.59997558594",1.5852619529187,1.27711063189153e-10,-2.42088976331593
"nX347.04638671875...1186.4","nX347.04638671875...1186.4",1.58091738598204,4.95690366288414e-10,-2.4034447016121
"nX347.153991699219...1186.40002441406","nX347.153991699219...1186.40002441406",1.57676847028277,3.0822380821276e-10,-4.07099221107373
"pX316.12158203125...1043.20007324219","pX316.12158203125...1043.20007324219",1.61774289753141,9.83037552440772e-11,-3.21563357145038
"nX335.200500488281...1072.80004882812","nX335.200500488281...1072.80004882812",1.60118653469778,8.06012104965237e-11,-2.36487865983546
"nX279.102783203125...1186.40002441406","nX279.102783203125...1186.40002441406",1.58276220892307,4.98489048094522e-10,-3.70226716203201
"nX278.162780761719...1186.40002441406","nX278.162780761719...1186.40002441406",1.58786757831275,2.86219735637208e-10,-3.41456937538274
"nX348.132293701172...1186.40002441406","nX348.132293701172...1186.40002441406",1.58008755397548,6.21816209269566e-10,-2.51752097355966
"pX294.135284423828...1225.59997558594","pX294.135284423828...1225.59997558594",1.58753628927899,1.99410751732235e-10,-1.41730552360127
"nX354.070098876953...952.799987792969","nX354.070098876953...952.799987792969",1.44812242747722,5.98824549435732e-09,-3.12176052467775
"pX225.059387207031...1186.40002441406","pX225.059387207031...1186.40002441406",1.57386479871156,2.07629545126535e-09,-3.12761512941039
"pX167.034896850586...1293.59997558594","pX167.034896850586...1293.59997558594",1.562951490737,2.33648355479523e-10,-2.49812974703063
"pX224.072494506836...1187.62268066406","pX224.072494506836...1187.62268066406",1.58175700702491,1.8989578564395e-10,-3.72813956461693
"nX278.114990234375...1186.40002441406","nX278.114990234375...1186.40002441406",1.58307757577346,4.60682814328092e-10,-3.62109801607473
"pX336.208541870117...1072.80004882812","pX336.208541870117...1072.80004882812",1.56371268861559,4.15931553509103e-10,-1.42212283636355
"pX293.137603759766...1225.60003662109","pX293.137603759766...1225.60003662109",1.59077923500444,1.70249410422104e-10,-2.35504543413407
"nX265.122283935547...1072.80004882812","nX265.122283935547...1072.80004882812",1.50286386584688,3.02206668369621e-09,-2.01808667051177
